"","id","书名","评论数","作者","出版时间","出版社","折扣价","原价","折扣","分类","简介","year"
"1270",270,"花千骨（全2册）",54032,"果果","2014-07-01","湖南文艺出版社","￥40.50","￥59.00","6.9折","青春文学","重磅推荐：,《花千骨：纪念典藏版：全2册（当当独家签名海报版）》：湖南卫视暑期热播，霍建华、赵丽颖、蒋欣等倾情演绎果果笔下*催泪断肠的虐心神话！仙侠言情史上经典奇书，百万读者落泪推荐！,《花千骨典藏画册（当当独家定制版）》当当独家赠送7张唯美人物书签，随书附赠“唯爱子画”精美海报！,　1.唐七公子《三生三世》后，仙侠言情史上又一经典力作，百万读者落泪推荐！",2014
"1271",271,"喂故事书长大的孩子",56621,"汪培珽 著","2011-01-01","广西科学技术出版社","￥22.10","￥32.00","6.9折","","",2014
"1272",272,"巴巴爸爸（全10册）",76417,"(法)缇森，(法)泰勒 著，谢逢蓓 译","2010-01-01","接力出版社","￥84.40","￥120.00","7.0折","童书","“可里可里可里，巴巴变！”在中国，这是家喻户晓的动画台词。,巴巴爸爸形象由法国漫画家德鲁斯·泰勒和他的妻子安娜特·缇森所创作,“巴巴爸爸经典系列”的首本《巴巴爸爸的诞生》出版于1970年，书一出版就受到了英国评论界权威的赞誉，并在同年的博洛尼亚书展上受到广泛好评。此后，巴巴爸爸很快风靡整个欧洲。1975年，联邦德国将巴巴爸爸的故事改编成动画片，并于1981年在美国首播。很快，50多个国家的观众就从电视机里结识了巴巴爸爸一家。截止目前巴巴爸爸系列图书已翻译成30多种语言，全球销量超过一亿册。,巴巴爸爸以他的",2014
"1273",273,"信仰：统治灵魂的力量是怎样形成的？（《洗脑术》作者高德全新推...",6575,"高德　著","2014-03-01","江苏文艺出版社","￥17.50","￥35.00","5.0折","成功/励志","",2014
"1274",274,"荒野求生少年生存小说系列（第一辑，全3册）",27856,"(英)贝尔·格里尔斯　著，王旸　译","2014-06-01","接力出版社","￥41.70","￥66.00","6.3折","童书","深夜迷路时，怎样辨别方向？,　　没有水，用什么可以救命？,　　遇到紧急情况，如何保护自己？,　　“荒野求生少年生存小说系列”是世界**野外生存大师贝尔?格里尔斯专门为广大少年儿童，特别是为三个儿子创作的作品。贝尔将自己丰富的野外生存经验融入精彩的少年历险小说，在动人心魄的故事情节中，生动描述了上百种简洁而实用的求生技巧，传递了野外求生的永恒的法则“永远保持微笑，只要活着就有希望”，引领小读者在危险环境中，镇静从容，险境求生。,荒野求生少年生存小说系列（贝尔授权签名本，全8册）火爆热销中！",2014
"1275",275,"跟着君之学烘焙Ⅱ",65431,"君之 著","2012-06-01","北京科学技术出版社","￥23.90","￥39.80","6.0折","烹饪/美食","君之**出品：跟着君之做饼干",2014
"1276",276,"失传的营养学：远离疾病",35191,"王涛　著","2013-03-01","世界知识出版社","￥31.10","￥32.00","9.7折","保健/养生","　　1．这是一本营养医学理论的论著，但您读起来不会感到吃力，任何一个人都可以读得懂，同时又不影响它的专业性，,　　2.这本书的知识具有极强的连贯性，而且又具有其自身的理论体系。**次阅读时，正文部分按章节从前到后顺序阅读，切记不要跳跃式阅读，大忌是直接阅读自己感兴趣的章节。总论部分没读懂会直接影响您对各论部分的理解。,　　3.这本书的理论需要静下心来，认真研读。这样您对其中的内容会理解得越深，每次读的,感受也会不一样。",2014
"1277",277,"肖申克的救赎",59629,"(美)金 著，施寄青，赵永芬，齐若兰 译","2006-07-01","人民文学出版社","￥29.00","￥29.90","9.7折","小说","惊悚题材永远的王者！人民文学‘全新版’隆重上市！,每个美国家庭都拥有两本书——一本是《圣经》，另一本可能就是斯蒂芬·金的小说。,——英国作家,克莱夫·巴克,这本书**不容错过，我保证你会一头栽进去而无法自拔……他创造的人物栩栩如生得让你几乎可以感觉到他们的存在。,——《明尼阿波利斯星坛报》,无疑的，这本书是斯蒂芬·金从事写作近三十年来公认*棒的作品之一，堪称他的生涯代表作。,——林尚威（台湾斯蒂芬·金网站站长）,畅销大师斯蒂芬·金的经典之作《纽约时报》畅销书排行榜冠军，全球已翻译31种语言，《肖申克的救赎",2014
"1278",278,"小黑鱼",54892,"(美)李欧·李奥尼　文，图","2010-01-01","南海出版社","￥17.40","￥29.80","5.8折","童书","《小黑鱼和他的朋友们》：四届凯迪克奖获得者-李欧李奥尼经典作品合集平装版，共14册，超经典超实惠！,★,获1964年美国凯迪克大奖、美国图书馆协会年度好书、德国绘本大奖等多项大奖，《纽约时报》推荐阅读,★,《纽约时报》不惜溢美之辞赞扬！日本绘本之父,松居直,高度评价！,★,中国著名教育专家,梅子涵、朱自强、阿甲、吕国才、叶凤春、赵世峰，著名导演,孟京辉,一致推荐,★,“如果绘本是我们这个时代一种新的视觉艺术，李欧·李奥尼则是这种风格的大家。”——《纽约时报》,绘本大师李奥尼经典杰作系列推荐：,《一只奇特的",2014
"1279",279,"绿山墙的安妮（精装全译本）27100多名读者热评！（北京大学硕士，...",52525,"(加)蒙哥马利 著，孙笑语 译","2011-05-01","中国画报出版社","￥17.40","￥26.80","6.5折","中小学教辅","此版本是精装插图全译本，国内著名翻译家孙笑语翻译。《绿山墙的安妮》是一部*甜蜜的描写儿童生活的小说，也是一本可以让家长、老师和孩子都能从中获得感悟的心灵读物",2014
"1280",280,"如何阅读一本书",40945,"(美)艾德勒，(美)范多伦 著 郝明义，朱衣 译","2004-01-01","商务印书馆","￥38.00","￥38.00","10.0折","社会科学","《如何阅读一本书》是一本阅读指南，介绍了阅读的方法、技巧，阅读所应具备的广阔视野。自1948年问世以来，在西方世界好评甚多，重版多次。是一本指导人们如何阅读的名作。每本书的封面之下都有一套自己的骨架，作为一个分析阅读的读者，你的责任就是要找出这个骨架。一本书出现在你面前时，肌肉包着骨头，衣服包裹着肌肉，可说是盛装而来。你用不着揭开它的外衣或是撕去它的肌肉，才能得到在柔软表皮下的那套骨架。但是你一定要用一双X光般的透视眼来看这本书，因为那是你了解一本书、掌握其骨架的基础。,当当独家销售艾德勒精选：《如何阅读",2014
"1281",281,"野兽国",34898,"莫里斯桑达克 著 宋珮 译","2014-06-01","贵州人民出版社","￥25.90","￥36.00","7.2折","童书","《野兽国》曾在白宫被奥巴马念给孩子们听。莫里斯桑达克（Maurice,Sendak）是二十世纪重要的儿童绘本艺术家。桑达克将儿童绘本从那个对丑恶略而不表的无菌室里生生拽出，直击人类灵魂深处萦绕不散的暗黑之美。,借用著名儿童文学作家、翻译家彭懿老师的话：假设只允许我们推荐一本图画书给你看，那么就是非它莫属了。它是一本大书，是图画书的金字塔。迄今为止，还没有一本图画书能够超越它。可以这么说，它是一本永远也读不完的图画书。它就是莫里斯桑达克的《野兽国》。,1964年，美国图书协会（American,Librar",2014
"1282",282,"他们最幸福",74809,"大冰 著","2013-09-01","中信出版社","￥26.00","￥35.00","7.4折","文学","关于#买书送作者#。首先，这是一个变态的活动，缘起于游侠大冰的一次心血来潮。大冰说，所有网购＜他们*幸福＞的少侠都是恩公，他很开心能背起吉他去到你的城市，与君烛光晚餐。只要购书后微博@大冰或当当书评留言，就可参与此次游戏。大冰说：一旦抽中你，天涯海角他都会赴约。大冰是个特立独行神秘又神奇的男人，他想送你个难忘的故事，你会是这故事的主人公。所谓牛逼闪闪的人生，不过是心随念走，身随缘游，把心意化作行动，给自己的人生多点选择权。世界很大，勇敢的人很多，你要相信，这个世界上有些人在过着你想要的生活。那些别样的人生",2014
"1283",283,"走进奇妙的数学世界（全3册）",57417,"(日)安野光雅 著 ,李玉珍 译","2013-01-01","新星出版社","￥70.00","￥118.80","5.9折","童书","推荐购买：安野光雅独一无二的语言游戏图画书《小三角，倒过来》,数学让人困惑的是为什么这样和有什么用，很多人即使大学毕业也不明白，这套书完美地阐释了数学的本质，把数学和生活紧密联系在一起。,　　★,13种基本数学思想，层层深入，完美阐释数学的本质。,　　★以两个小矮人贯穿全文，图文并茂，讲故事、出谜题、做游戏，游戏背后蕴藏数学概念让孩子以简单、科学的方式走近数学，爱上数学！,　　★不仅仅讲算术，更重在启发从不同角度看待事物、解决问题的思考方式，培养孩子的逻辑思维能力，提高综合素质。,　　★国际安徒生奖得主、",2014
"1284",284,"山海经（白话全译彩图版）",43711,"徐客 著","2012-03-01","陕西师范大学出版社","￥34.00","￥68.00","5.0折","古籍","畅销100万系列,奇幻之祖，玄幻经典：4830种异兽，,2665种奇木，132个国度，堪称魔幻作品之鼻祖！,图宝级插图全新着色：320幅*珍贵的古版插画，选自10部国宝级版本，全新彩绘着色！,独家考据，专家论证：特别添加张步天教授独家考据地图，指明古地址的现代方位。,当今*好的说文解字书：汉字树（套装，全六册）",2014
"1285",285,"爱的五种语言:创造完美的两性沟通（附夫妻自我测试题，数次荣登纽...",42563,"(美)查普曼","2010-10-01","江西人民出版社","￥21.80","￥29.00","7.5折","两性关系","更多两性过招、婚恋箴言，新书、热书、畅销书,点击进入：,本书自1992年出版以来，持续出现在《出版者周刊》的畅销书排行榜上，并数次荣登纽约时报畅销书排行榜**名，英文版销售已经累计突破500万册。本书已被译成20多种语言在全球发行。“爱的五种语言”已经成为全世界婚姻辅导和个人成长的必备工具。",2014
"1286",286,"小猪唏哩呼噜（升级版 套装全3册）",18949,"孙幼军 著","2013-10-01","春风文艺出版社","￥54.90","￥90.00","6.1折","童书","　　文字作者孙幼军先生是我国**位获国际安徒生文学奖提名奖的作家。,　　插图作者裘兆明女士是我国**位获国际安徒生插图奖提名奖的画家。,　　《小猪唏哩呼噜》的荣誉,　　该作品曾荣获中国作家协会第四届全国优秀儿童文学奖；第五届宋庆龄儿童文学奖童话类提名奖；“优秀童书Top10”年度评奖，本书是**入选的国内原创作品；国际儿童阅读联盟刊物《书鸟》推荐的三本原创书之一；荣获全国优秀畅销书奖。入选新闻出版署2007年底向青少年推荐的百种优秀图书。入选中国小学生基础阅读书目。,　　《小猪唏哩呼噜》大事记,　　199",2014
"1287",287,"情人（译文经典·精装本）",28234,"(法)杜拉斯 著，王道乾 译","2009-08-01","上海译文出版社","￥24.30","￥25.00","9.7折","小说","　　一个与昆德拉、村上春树和张爱玲并列的小资读者、时尚标志的女作家，一个富有传奇人生经历、惊世骇俗叛逆性格、五色斑斓爱情的艺术家，一个堪称当代法国文化骄傲的作家，一个引导世界文学时尚的作家……,《情人》系杜拉斯代表作之一，自传性质的小说，获一九八四年法国龚古尔文学奖。全书以法国殖民者在越南的生活为背景，描写贫穷的法国女孩与富有的中国少爷之间深沉而无望的爱情。,超值推荐：蔡东藩历朝通俗演义（全21册，共11部）读《二十四史》，不如读蔡东藩，一代史家，千秋神笔！陪伴毛泽东一生的枕边书。,超值推荐：唐浩明晚清三",2014
"1288",288,"四大名著 无障碍阅读 足本典藏版 （套装共4册）三国演义 水浒传 ...",315,"曹雪芹，施耐庵，吴承恩，罗贯中　著","2014-05-01","","￥70.20","￥108.00","6.5折","中小学教辅","　　四大名著的魅力无需赘言，而南大版“素质版四大名著·角度阅读”，除了版本优势，其插图、无障碍注释更是**的看点。目前市场上四大名著的版本，很多都是没有注释的白文本，对于一般读者阅读古典小说，注释无疑是不可缺少的辅助工具。南大版四大名著的注释精准到位、简练流畅，严格依据四大名著原著。另外加入人物关系图、导读、导学，对读者完成自主性学习提供了帮助。尤其是文后的习题演练，不仅让读者再一次回顾了文章内容，还帮助学生归纳了名著的采分点。",2014
"1289",289,"丰乳肥臀（2012年度诺贝尔文学奖获得者中国著名作家莫言作品）",86981,"莫言　著","2012-11-01","作家出版社","￥23.00","￥46.00","5.0折","小说","中国首位诺贝尔文学奖获得者莫言作品。　　,2012年诺贝尔文学奖授奖词：,　　·莫言是个诗人，他扯下程式化的宣传画，使个人从茫茫无名大众中突出出来。他用嘲笑和讽刺的笔触，攻击历史和谬误以及贫乏和政治虚伪。他有技巧的揭露了人类*阴暗的页面，在不经意间给象征赋予了形象。,　　·莫言有着无与伦比的想象力。他很好的描绘了自然；他基本知晓所有与饥饿相关的事情；他向我们展示了一个没有真理、常识或者同情的世界，这个世界中的人鲁莽、无助且可笑。,　　·莫言的故事有着神秘和寓意，让所有的价值观得到体现。莫言的人物充满活力，",2014
"1290",290,"大数据：正在到来的数据革命[2.0升级版](叫醒中国，领跑大数据时...",18645,"涂子沛 著","2013-04-01","广西师范大学出版社","￥48.40","￥49.90","9.7折","管理","　　★《大数据》，中国+美国，两国要人推荐，持续畅销，领跑大数据时代*好的书——,　　【中国高层人物汪洋】+【奥巴马总统大选亚裔事务顾问、美国华人全国委员会会长、凤凰卫视时事评论员薛海培】+【英特尔全球副总裁、中国区总裁杨叙】+【中国互联网发展的重要参与者、知名IT评论人谢文】+【中国房地产风云人物任志强】+【史学大家、匹兹堡大学历史系荣誉讲座教授许倬云】+【中美10大高校著名学者】……,　　★《大数据》，这里有“中国对手”——,　　大数据浪潮，汹涌来袭。20世纪大萧条以来，美国作为世界强国的开放历史，数",2014
"1291",291,"做最好的自己（李开复 著）",49105,"李开复 著","2005-09-01","人民出版社","￥14.00","￥28.00","5.0折","成功/励志","若干年后，人们尊敬的不仅是他的科学贡献、事业成就，更有他对青年一代的热忱、爱心和奉献。,——宋健（中华人民共和国前国务委员）,我们一直在寻找一位拥有卓越的技术才能、领导能力、热爱中国、深刻理解Google价值观（尤其要正直和诚信）的特殊人才。非常幸运，我们在李开复身上发现了这些优秀品质。,——赛吉·布林、拉里·佩吉（美国Google公司的共同创始人）,我**次返回美国苹果公司的时候，有人说李开复是我错过的**秀的技术天才。于是，我打电话告诉开复，无论什么时候，只要他愿意，苹果公司都欢迎他回来。,——史蒂夫",2014
"1292",292,"中国通史（精装插图版）",49903,"吕思勉　著","2012-05-01","中国画报出版社","￥27.00","￥39.80","6.8折","历史","　　1.,*快速、*系统、*经典的国史教材，了解中国历史公认的权威版本。,　　2.,畅销七十余载，重印百余次！彩页、插图、精装，全面超越市场同类品种。,更多畅品推荐：,重磅新书推荐阅读：《中国历史的侧面》,★★★★★推荐阅读：,《白话本国史》《中国史纲》《三国史话》,《听黄仁宇讲中国大历史》,★★★★★推荐阅读：,《*幽默?世说新语》《日本调：一部穿越时空的日本风情史》《你一定爱读的简明美国史》,★★★★★推荐阅读：,《每天读一点中国史》《每天读一点世界史》《每天读一点佛教常识》",2014
"1293",293,"我与地坛（纪念版）",47650,"史铁生 著","2011-04-01","人民文学出版社","￥23.20","￥29.00","8.0折","文学","这本书是在史铁生2010年12月30日出版的，第二天的凌晨，史铁生就永远离开我们了。本来，这是我们送给他的一个新年大礼，现在回过头来想，《我与地坛》其实是史铁生送给我们每个人的礼物。当年《我与地坛》发表的时候，韩少功说过，即使今年没有任何文学作品，只要有《我与地坛》，就是文学的丰收年。这篇作品是史铁生送给所有人的无价的礼物。史铁生以他的毅力和智慧，度过了四十年的轮椅生涯，写下了数百万字的作品，成为当代*有成就的作家。他的影响和贡献，远超于文学之上；他给予读者的，不仅是精美洁净的文字，更是健康的精神、深沉的",2014
"1294",294,"请给我结果（钻石版）",19619,"姜汝祥 著","2009-05-01","中信出版社","￥22.20","￥24.00","9.3折","管理","不要只完成任务，更重要的是结果。全新推出《行动手册》为员工打造强大执行力！,　　万科集团、TCL集团、神州数码等上千家企业将本书作为“结果导向”培训读本。本书版权输出台湾、韩国，亚洲销量已突破500000册。本书在原有基础上修订全书，扩充重点章节内容，制作《行动手册》，帮助读者更有效提升执行力。,　　从执行到结果，完成任务＃结果，执行是做结果，而不是完成任务，行动不一定成功，但是不行动一定不会成功。“结果导向”是企业和员工在当下**的生存之道。,推荐购买姜汝祥博士关于电商的**力作《电商战略之电商2.0》",2014
"1295",295,"小淘气尼古拉绝版故事（共5册）——尼古拉的故事第二辑",23016,"(法)勒内戈西尼(文)；(法)让-雅克桑贝(图)；戴捷 译","2013-04-01","中国少年儿童出版社","￥40.80","￥60.00","6.8折","童书","全球畅销半个世纪，伴随一代又一代人的成长！,法国国宝级作家和世界著名漫画大师联手打造！,全世界家喻户晓的故事，小读者*喜爱的人物，曾被改编拍摄成法国超卖座电影！,高尚的、健康的、智慧的真正幽默！,纯真童趣，会心一笑，成年人也读得津津有味！,图文并茂，极具欣赏价值和收藏价值！,相关阅读>>校园故事大王黄宇**作品，蔬菜版淘气包的故事不容错过！《蔬菜学校（5册）》",2014
"1296",296,"高晓松鱼羊野史（第1卷）",27846,"高晓松","2015-04-01","湖南文艺出版社","￥27.40","￥39.80","6.9折","历史","　,东方卫视脱口秀节目《晓松说》未删节版完整收录，40万字的超级读本，讲述每一天在历史上发生的大事件或有趣的事，以高晓松的角度来重新解读历史事件，风格轻松幽默，与严肃的讲历史的不同，有很多高晓松个人见解和趣闻，重温故国、故城、故人芳华刹那。,重磅新书：,高晓松鱼羊野史套装（第1卷—第4卷）,《鱼羊野史,第4卷》,《鱼羊野史,第3卷》,《鱼羊野史　第２卷》,高晓松鱼羊野史套装（第1卷—第5卷）,高晓松鱼羊野史.第5卷",2014
"1297",297,"不可思议的旅程",49694,"(美)艾伦·贝克尔 著","2014-08-01","新星出版社","￥33.90","￥39.60","8.6折","童书","《不可思议的旅程》出续集了。请戳：《不可思议的旅程：彩虹国度》,·2014年凯迪克大奖,·2013年《纽约时报》年度优秀绘本，被评价为“masterwork”.,·儿童图书馆协会选书,·美国总统奥巴马的家庭书单,·2014年度桂冠童书,·第十届国家文津图书奖60种推荐书奖,·《书单》杂志评价其“回荡着《哈诺德梦游仙境》《野兽出没的地方》《小红书》般的力量，并且显然，作者对这类书的开创者们有着深刻的理解”。,·凯迪克金奖获得者、《阿莫的生病日》作者埃琳斯蒂德评价说：“我们的周围充斥着光亮和噪音，贝克尔用一个",2014
"1298",298,"德国精选科学图画书 （全2册）",80349,"(徳)安娜　著，安娜　绘","2015-04-01","北京科学技术出版社","￥24.80","￥49.60","5.0折","童书","★好妈妈的选择，给孩子有趣有益的科学绘本！,★来自德国的神奇科学绘本，畅销20年！,★童话的语言，*富想象力的故事，陪伴一生的好习惯！,畅销德国二十年的有趣绘本，结合童心和科学的经典之作！用*令人惊讶的想象力和*令人捧腹的情节，创造*亲近孩子的科学图画书！,在《牙齿大街的新鲜事》这个故事里，我们向孩子们展示了两个精灵古怪的小家伙-哈克和迪克，他们虽然看起来非常可爱，但是却野心勃勃地想要破坏我们的牙齿。读了这个故事，孩子们一定会拿起牙刷，把他们都消灭掉，不给这两个小家伙在我们牙齿上挖洞建房的机会。这两个小家",2014
"1299",299,"人性的弱点 修订终结版",34309,"戴尔卡耐基　著，美国卡耐基机构　编，吕韩　等译","2013-01-01","天津人民出版社","￥24.00","￥32.00","7.5折","成功/励志","★卡耐基机构授权2013新增补修订版。卡耐基人际沟通法则全新完整珍藏版本。,　　★首次整理公开的从未发表卡耐基手稿精华，卡耐基学院新增数百经典案例，全书增补超过70%的全新内容，具有贴近当今现实社会的指导意义，更加适合21世纪的读者。,　　★卡耐基教你既有原则又有技巧的进行沟通，发现如何用网络沟通的差异和价值所在。,　　★如何更有说服力，广泛和清晰的传达你的观点，在本书中均有答案。,　　★卡耐基的忠告永不过时，阅读本书，能让大家喜欢你，使你更具有说服力，使你的能力得到增长并获得成功。",2014
"1300",300,"卡耐基沟通的艺术与处世智慧",62568,"(美)戴尔·卡耐基(Carnegie，D.)著；王红星编译","2012-07-01","中国华侨出版社","￥21.20","￥32.00","6.6折","成功/励志","☆《卡耐基沟通的艺术与处世智慧》是一本关于改善人际关系及为人处世艺术的经典之作。它对于开阔我们的视野、改善我们的人际关系，特别是克服封闭式的人性弱点，将有非常宝贵的启示和借鉴作用。,☆帮你突破语言障碍，提高交往能力，实现人生理想。,这里有好书：,《你变了，世界就变了》,《卡耐基魅力口才与演讲的艺术》,《卡耐基口才的艺术与人际关系（全集）》,《卡耐基写给女人的一生幸福书》",2014
"1301",301,"拆掉思维里的墙：原来我还可以这样活",74553,"古典　著","2011-09-01","北方妇女儿童出版社","￥20.50","￥29.80","6.9折","成功/励志","　　关于古典,　　——你叫什么？,　　——我叫古典。,　　——古典？我说真名。,　　——我真名就叫古典。,　　——真的？　　——真的！,　　　徐小平这样称赞古典：古典的名字，有点像“小平同志”我老人家的名字，听了他的大号，大家都会过耳不忘。古典是一个具有古典气质的美男子，外表好不算什么，但外表好，又能够表现得文静优雅、慈眉善目，他是古典。他曾经是北京新东方国外部托福、雅思、GRE词汇速记首席讲师。听他的课，词汇与故事并进，激情与严谨共飞。一整天下来，学生形容是“累并快乐着”。他是新东方优秀老师，他是我一直",2014
"1302",302,"安下心来（畅销书《找回迷失的自己》作者程志良潜心三年新作！写...",2490,"程志良　著","2014-03-01","中国华侨出版社","￥22.40","￥29.80","7.5折","成功/励志","　　团购特惠：企事业单位团购《安下心来》，凭当当网购书小票预约程志良老师到企业现场亲授课程，可享优惠。本活动期间每场次授课费3万元（不包括程老师的差旅食宿费用，每场次参加人数限200人以内，200人以上另行协商）。企事业单位一次性购书300册以上享授课费85折优惠，600册以上享授课费75折优惠，900册以上享授课费65折优惠。本活动全国有效，在2015年1月31日前团购本书都可享受授课优惠。授课预约电话：010-84786026。,　　◎畅销书《找回迷失的自己》作者程志良潜心三年新作；,　　◎写给现实生",2014
"1303",303,"一粒红尘（独木舟最新作品）",24463,"独木舟 著","2014-05-01","中国文联出版社","￥19.80","￥29.80","6.6折","青春文学","",2014
"1304",304,"炒股入门与技巧",63755,"钟双德","2010-11-01","中国画报出版社","￥14.00","￥28.00","5.0折","投资理财","★炒股入门必读，快速收益指南！深入浅出，教您轻松看懂纷繁复杂的股市图谱，精准捕捉绩优股！,★一年时间，他从10万变成了100万，两年时间，他从100万变成了1000万，这是他创造的股市神话。他信奉没有不赚钱的股市，只有不会炒股的人。,★从基本概念开始，由浅入深，方便交易者学习、理解和实战运用。在讲解各种交易知识、交易系统、交易心性之时，力求通俗易懂，贴近实盘。,★快速理解炒股的基本知识与理论，熟练掌握大智慧新一代炒股软件的使用方法，准确预测价格的后期走势并在买进卖出中获利,更多好书请点击：,★从A股获利―",2014
"1305",305,"中国国家地理旅途相约",46432,"郭子鹰　著","2011-10-01","中国大百科全书出版社","￥28.50","￥38.00","7.5折","旅游/地图","**修订版：*好的时光在路上,他为什么数度放弃500强企业的工作而成为一名遁世者？他为什么放弃主流旅行杂志采访邀约不断的主编职位，选择做一名自费旅行者？他为什么认为发生在自己身上的一切都是*好的？“如果人生可以重来，我选择不做改变？”他为什么觉得“世上本没有失败的人生”？他为什么可以享受“看似失败的成功”？他为什么会认为旅行就像是一种修行，却从来不愿回答修行的目的究竟为何？郭子鹰的这本《*好的时光在路上》，完全是一场归期未定的视觉旅行，只有认真寻找的人，才会在其中发现真正的“幸福密码”。每一页风景明媚，每",2014
"1306",306,"可爱的身体",62233,"(日)七尾纯，小林雅子　文，(日)今井弓子　等图，(日)猿渡静子　译","2010-01-01","南海出版社","￥54.60","￥88.00","6.2折","童书","1.用生动活泼的语言阐释丰富的健康知识，为孩子们揭开身体的奥秘。,　　2.所涉内容包括蛀牙、大便、肚脐、体检、打预防针等八个方面，与孩子身体成长密切相关，是他们想知、应知的身体健康知识，也是养成良好生活习惯的基础。,　　3.内容充实有趣，科学性强，绘图生动活泼，想象力丰富，让孩子在故事的情境中和形象亲切可爱的小主人公们一道学习知识、获得快乐。,　　4.每本书后的拓展阅读“给妈妈的话”，为妈妈们进一步解答孩子的疑惑提供了科学的依据和答案。,点击免费阅读更多章节：可爱的身体,给妈妈*好的推荐，给宝宝*好的礼物",2014
"1307",307,"气场——改变全球1600万人命运的强大蝴蝶效应，比尔·盖茨、奥巴...",131463,"(美)菲尔 著，章岩 译","2010-11-01","重庆出版社","￥14.00","￥28.00","5.0折","成功/励志","编辑推荐：,◆CNN、NBC、CBS、ABC等全世界各大电视节目及媒重点推荐！,◆《纽约时报》、《华尔街日报》、《今日美国》、《新闻周刊》、《人物》、《时代》《环球时报》、《芝加哥时报》、《哈特福新闻报》、《出版人周刊》《奥马哈世界前锋报》等160家媒体专题报道！,◎由1个人1项运动1本书改变全球1600万人命运的强大蝴蝶效应。,◎比尔·盖茨、奥巴马、奥普拉、马云……全球政治圈、财经圈金字塔尖人物都在运用的成功秘密！,◎三秒钟陌生人游戏测试你的气场◆28天气场培训彻底改变你的气场。,◎气场改变命运，气场决",2014
"1308",308,"犟龟",58616,"米切尔·恩德","2008-01-25","２１世纪出版社","￥18.30","￥25.00","7.3折","童书","",2014
"1309",309,"小小自然图书馆（全40册）",20032,"帕帕尤娜，奥斯兰姆，拉帕塔，德斯特　著，张懿　译","2014-01-01","安徽少年儿童出版社","￥155.60","￥200.00","7.8折","童书","",2014
"1310",310,"手不是用来打人的 (全4册)",33403,"(美)玛丁妮阿加西博士；伊丽莎白弗迪克　著,(美)玛丽卡海因莱因　绘,陈薇薇　译","2012-09-01","新世界出版社","￥36.00","￥58.00","6.2折","童书","　　●　**亲子读本，适合1－7岁儿童。,　　●,手用来打人？还是用来帮助人？语言用来伤人？还是用来让彼此高兴？《手不是用来打人的》《语言不是用来伤人的》，靠诉儿童与外界交流的基本准则，让儿童与外界的交流，畅通无碍。,　　●,不正确的习惯：扯宠物的尾巴，宠物就会受到伤害；不及时清洁身体，细菌就会侵害儿童。《尾巴不是用来扯的》《细菌不是用来分享的》告诉我们，童年如白纸,一些小小的道理，一些细微的纠正，都会有一生的用途。,　　●美国获奖儿童插画师玛丽卡?海因莱因力作，明快清丽的插图，让儿童在阅读时，平添乐趣与",2014
"1311",311,"我爸爸——启发系列绘本",72679,"(英)布朗 文图，余治莹 译","2007-04-01","河北教育出版社","￥24.70","￥29.80","8.3折","童书","偶像爸爸——宋佩◎台湾中原大学人文学院讲师,在《我爸爸》之前，安东尼·布朗图画书里的父亲形象并不可亲，例如《动物园》里作风强势、毫无同情心的爸爸；《大猩猩》里安静冷漠、忙于工作的爸爸、《朱家故事》里只知道享受不懂得体贴的爸爸……可是2000年出版的《我爸爸》却打破了过去的模式，用孩子的口吻和眼光来描绘一位既强壮又温柔的爸爸，这位让孩子崇拜的爸爸不仅样样事情都在行、给孩子十足的安全感，还温暖得像太阳一样。安东尼·布朗在图画中运用了许多太阳的图样来呼应爸爸阳光般的特质，不论是墙上、门上，袜子和钮扣上的图画，盘",2014
"1312",312,"大漠谣·新版",33967,"桐华 著","2012-03-01","湖南文艺出版社","￥29.00","￥48.00","6.0折","青春文学","　　桐华经典古言作品全新修订版本。,　　狼烟阵阵起边疆，马踏匈奴汉风扬。,　　盛世的耀眼光芒，一代名将的绝世风采，一段不悔相思的爱情传奇，给你留下*刻骨铭心的记忆。",2014
"1313",313,"大卫，不可以",57764,"文/图：〔美〕大卫·香农David Shannon","2014-08-01","河北教育出版社","￥20.90","￥33.80","6.2折","童书","　　★*后一页，大卫被妈妈紧紧地搂在怀里，幸福地闭上了眼睛，妈妈一句“大卫乖，我爱你”，顿时就化解了大卫所有的眼泪和委屈。这温情的一笔让故事情节急转直下，一个童年恶作剧的故事就收场于这样一个爱的动作。我们身边有多少这样的“大卫”呢……,美国凯迪克大奖绘本购买链接：（小学、幼儿园推荐绘本，激发孩子们的创造力、塑造孩子们正确的价值观、丰富孩子们的精神世界！让我们一起关爱孩子们的成长！我们一起用心呵护孩子们！我相信我们能做到！）,《大卫,不可以》、《海底的秘密》、《疯狂星期二》、《天空在脚下》、《阿文的小毯子》",2014
